"","X","participant_id","option_chosen","problem_number","running_number","trial_number","cond","a.b.f","b.b.f","a.se.f","b.se.f","a_be","pa_be","a_se","pa_se","b_be","pb_be","b_se","pb_se","de_gap_rule"
"6104",6104,51,0,73,44,37,"exp",0.636363636363636,0.739130434782609,0.363636363636364,0.173913043478261,8,0.703,6,0.162,8,0.756,6,0.103,0.1
"6105",6105,51,1,74,45,2,"exp",0.76,0.904761904761905,0,0.238095238095238,9,0.693,6,0.031,9,0.708,6,0.18,0.1
"6106",6106,51,0,76,46,39,"exp",0.857142857142857,1,0.142857142857143,0,6,0.794,6,0.2,6,0.837,9,0.018,0.1
"6107",6107,51,1,77,47,35,"exp",0.666666666666667,0.166666666666667,0,0.416666666666667,8,0.741,9,0.02,8,0.571,6,0.198,0.1
"6108",6108,51,1,79,48,38,"exp",0.875,0.818181818181818,0.25,0.0909090909090909,8,0.733,7,0.167,8,0.799,10,0.038,0.1
"6109",6109,51,0,80,49,29,"exp",0.789473684210526,0.733333333333333,0.105263157894737,0.133333333333333,6,0.812,7,0.037,6,0.817,6,0.199,0.1
"6110",6110,51,0,81,50,7,"exp",0.545454545454545,0.64,0.181818181818182,0,9,0.626,6,0.205,9,0.571,10,0.027,0.1
"6111",6111,51,0,83,51,53,"exp",0.857142857142857,0.85,0.142857142857143,0,7,0.742,10,0.052,7,0.688,6,0.112,0.1
"6112",6112,51,0,84,52,46,"exp",1,1,0.2,0,7,0.595,6,0.187,7,0.669,7,0.065,0.1
"6113",6113,51,0,85,53,18,"exp",0.642857142857143,0.777777777777778,0.0714285714285714,0.0555555555555556,7,0.668,7,0.153,7,0.846,7,0.082,0.1
"6114",6114,51,1,86,54,5,"exp",0.863636363636364,0.625,0,0.125,6,0.716,7,0.074,6,0.676,6,0.176,0.1
"6115",6115,51,1,90,55,60,"exp",0.954545454545455,0.882352941176471,0.0454545454545455,0.294117647058824,7,0.832,6,0.118,7,0.903,6,0.193,0.1
"6116",6116,51,1,92,56,27,"exp",0.772727272727273,0.705882352941177,0,0.0588235294117647,6,0.793,9,0.013,6,0.637,6,0.089,0.1
"6117",6117,51,0,95,57,16,"exp",0.5,0.470588235294118,0.0833333333333333,0,7,0.604,10,0.043,7,0.514,6,0.071,0.1
"6118",6118,51,0,96,58,15,"exp",0.580645161290323,0.65,0.0645161290322581,0.25,7,0.703,6,0.066,7,0.597,6,0.158,0.1
"6119",6119,51,0,99,59,58,"exp",0.583333333333333,0.8,0.166666666666667,0,8,0.596,6,0.137,8,0.736,10,0.075,0.1
"6120",6120,51,1,100,60,10,"exp",0.8,0.681818181818182,0.2,0.0909090909090909,9,0.761,6,0.276,9,0.716,9,0.056,0.1
"6121",6121,52,0,2,1,57,"desc",NA,NA,NA,NA,2,0.88,1,0.114,2,0.733,1,0.178,0.216666666666667
"6122",6122,52,1,3,2,29,"desc",NA,NA,NA,NA,5,0.68,3,0.251,5,0.614,1,0.051,0.216666666666667
"6123",6123,52,1,5,3,10,"desc",NA,NA,NA,NA,2,0.905,1,0.074,2,0.709,3,0.205,0.216666666666667
"6124",6124,52,0,8,4,33,"desc",NA,NA,NA,NA,8,0.545,6,0.067,8,0.694,2,0.026,0.216666666666667
"6125",6125,52,1,10,5,6,"desc",NA,NA,NA,NA,2,0.921,3,0.226,2,0.73,3,0.089,0.216666666666667
"6126",6126,52,0,11,6,16,"desc",NA,NA,NA,NA,9,0.644,2,0.02,9,0.914,2,0.14,0.216666666666667
"6127",6127,52,1,12,7,47,"desc",NA,NA,NA,NA,2,0.688,1,0.122,2,0.706,2,0.024,0.216666666666667
"6128",6128,52,1,13,8,17,"desc",NA,NA,NA,NA,4,0.635,3,0.157,4,0.611,2,0.092,0.216666666666667
"6129",6129,52,1,14,9,11,"desc",NA,NA,NA,NA,2,0.511,3,0.049,2,0.778,1,0.054,0.216666666666667
"6130",6130,52,0,15,10,8,"desc",NA,NA,NA,NA,2,0.675,3,0.105,2,0.775,1,0.176,0.216666666666667
"6131",6131,52,1,16,11,35,"desc",NA,NA,NA,NA,5,0.836,2,0.014,5,0.703,2,0.185,0.216666666666667
"6132",6132,52,1,17,12,13,"desc",NA,NA,NA,NA,9,0.922,6,0.062,9,0.563,2,0.056,0.216666666666667
"6133",6133,52,1,18,13,50,"desc",NA,NA,NA,NA,8,0.584,6,0.015,8,0.658,1,0.027,0.216666666666667
"6134",6134,52,1,19,14,38,"desc",NA,NA,NA,NA,8,0.804,3,0.064,8,0.889,2,0.163,0.216666666666667
"6135",6135,52,0,22,15,22,"desc",NA,NA,NA,NA,4,0.642,3,0.213,4,0.902,1,0.042,0.216666666666667
"6136",6136,52,0,23,16,39,"desc",NA,NA,NA,NA,8,0.828,3,0.033,8,0.81,1,0.104,0.216666666666667
"6137",6137,52,0,26,17,48,"desc",NA,NA,NA,NA,5,0.645,1,0.215,5,0.8,3,0.188,0.216666666666667
"6138",6138,52,0,27,18,18,"desc",NA,NA,NA,NA,8,0.517,2,0.085,8,0.835,6,0.072,0.216666666666667
"6139",6139,52,1,28,19,2,"desc",NA,NA,NA,NA,5,0.9,2,0.012,5,0.786,2,0.181,0.216666666666667
"6140",6140,52,1,29,20,45,"desc",NA,NA,NA,NA,8,0.676,1,0.058,8,0.571,3,0.218,0.216666666666667
"6141",6141,52,1,31,21,3,"desc",NA,NA,NA,NA,8,0.769,1,0.091,8,0.681,2,0.219,0.216666666666667
"6142",6142,52,1,32,22,5,"desc",NA,NA,NA,NA,8,0.86,1,0.132,8,0.782,2,0.014,0.216666666666667
"6143",6143,52,0,34,23,19,"desc",NA,NA,NA,NA,8,0.596,2,0.145,8,0.944,2,0.135,0.216666666666667
"6144",6144,52,0,35,24,24,"desc",NA,NA,NA,NA,8,0.575,2,0.014,8,0.724,3,0.183,0.216666666666667
"6145",6145,52,0,36,25,40,"desc",NA,NA,NA,NA,3,0.791,2,0.019,3,0.631,6,0.019,0.216666666666667
"6146",6146,52,1,39,26,56,"desc",NA,NA,NA,NA,2,0.752,2,0.146,2,0.624,1,0.037,0.216666666666667
"6147",6147,52,0,42,27,14,"desc",NA,NA,NA,NA,4,0.561,1,0.199,4,0.824,1,0.151,0.216666666666667
"6148",6148,52,1,43,28,52,"desc",NA,NA,NA,NA,3,0.767,2,0.03,3,0.871,2,0.117,0.216666666666667
"6149",6149,52,1,44,29,9,"desc",NA,NA,NA,NA,2,0.766,1,0.083,2,0.635,2,0.136,0.216666666666667
"6150",6150,52,0,45,30,30,"desc",NA,NA,NA,NA,8,0.609,3,0.164,8,0.691,1,0.081,0.216666666666667
"6151",6151,52,1,48,31,23,"desc",NA,NA,NA,NA,3,0.754,1,0.088,3,0.833,1,0.235,0.216666666666667
"6152",6152,52,1,53,32,1,"desc",NA,NA,NA,NA,8,0.713,2,0.01,8,0.763,6,0.041,0.216666666666667
"6153",6153,52,1,54,33,44,"desc",NA,NA,NA,NA,5,0.659,3,0.227,5,0.594,2,0.134,0.216666666666667
"6154",6154,52,1,56,34,59,"desc",NA,NA,NA,NA,5,0.77,6,0.016,5,0.62,2,0.091,0.216666666666667
"6155",6155,52,1,57,35,54,"desc",NA,NA,NA,NA,8,0.645,3,0.137,8,0.677,2,0.017,0.216666666666667
"6156",6156,52,1,59,36,55,"desc",NA,NA,NA,NA,5,0.569,1,0.16,5,0.795,2,0.071,0.216666666666667
"6157",6157,52,0,60,37,42,"desc",NA,NA,NA,NA,5,0.566,2,0.06,5,0.766,1,0.192,0.216666666666667
"6158",6158,52,1,61,38,31,"desc",NA,NA,NA,NA,8,0.86,1,0.104,8,0.659,2,0.138,0.216666666666667
"6159",6159,52,1,65,39,36,"desc",NA,NA,NA,NA,2,0.571,3,0.261,2,0.514,2,0.014,0.216666666666667
"6160",6160,52,1,67,40,41,"desc",NA,NA,NA,NA,5,0.711,2,0.145,5,0.536,3,0.139,0.216666666666667
"6161",6161,52,1,68,41,60,"desc",NA,NA,NA,NA,3,0.845,3,0.162,3,0.869,2,0.068,0.216666666666667
"6162",6162,52,1,70,42,49,"desc",NA,NA,NA,NA,5,0.556,2,0.029,5,0.715,2,0.105,0.216666666666667
"6163",6163,52,0,71,43,43,"desc",NA,NA,NA,NA,2,0.606,2,0.036,2,0.577,2,0.105,0.216666666666667
"6164",6164,52,0,73,44,20,"desc",NA,NA,NA,NA,8,0.703,1,0.162,8,0.756,3,0.103,0.216666666666667
"6165",6165,52,0,74,45,21,"desc",NA,NA,NA,NA,2,0.693,2,0.031,2,0.708,1,0.18,0.216666666666667
"6166",6166,52,0,76,46,58,"desc",NA,NA,NA,NA,5,0.794,3,0.2,5,0.837,2,0.018,0.216666666666667
"6167",6167,52,1,77,47,4,"desc",NA,NA,NA,NA,2,0.741,2,0.02,2,0.571,3,0.198,0.216666666666667
"6168",6168,52,0,79,48,37,"desc",NA,NA,NA,NA,5,0.733,2,0.167,5,0.799,6,0.038,0.216666666666667
"6169",6169,52,0,80,49,46,"desc",NA,NA,NA,NA,9,0.812,2,0.037,9,0.817,1,0.199,0.216666666666667
"6170",6170,52,1,81,50,27,"desc",NA,NA,NA,NA,2,0.626,3,0.205,2,0.571,1,0.027,0.216666666666667
"6171",6171,52,1,83,51,12,"desc",NA,NA,NA,NA,8,0.742,6,0.052,8,0.688,3,0.112,0.216666666666667
"6172",6172,52,1,84,52,25,"desc",NA,NA,NA,NA,8,0.595,1,0.187,8,0.669,2,0.065,0.216666666666667
"6173",6173,52,1,85,53,53,"desc",NA,NA,NA,NA,4,0.668,2,0.153,4,0.846,2,0.082,0.216666666666667
"6174",6174,52,0,86,54,51,"desc",NA,NA,NA,NA,9,0.716,2,0.074,9,0.676,3,0.176,0.216666666666667
"6175",6175,52,0,90,55,15,"desc",NA,NA,NA,NA,3,0.832,3,0.118,3,0.903,3,0.193,0.216666666666667
"6176",6176,52,1,92,56,34,"desc",NA,NA,NA,NA,5,0.793,2,0.013,5,0.637,3,0.089,0.216666666666667
"6177",6177,52,1,95,57,7,"desc",NA,NA,NA,NA,8,0.604,6,0.043,8,0.514,2,0.071,0.216666666666667
"6178",6178,52,1,96,58,32,"desc",NA,NA,NA,NA,4,0.703,3,0.066,4,0.597,1,0.158,0.216666666666667
"6179",6179,52,0,99,59,28,"desc",NA,NA,NA,NA,8,0.596,3,0.137,8,0.736,6,0.075,0.216666666666667
"6180",6180,52,1,100,60,26,"desc",NA,NA,NA,NA,2,0.761,3,0.276,2,0.716,2,0.056,0.216666666666667
"6181",6181,52,1,2,1,59,"exp",1,1,0,1,2,0.88,1,0.114,2,0.733,1,0.178,0.216666666666667
"6182",6182,52,0,3,2,12,"exp",0,0,1,0,5,0.68,3,0.251,5,0.614,1,0.051,0.216666666666667
"6183",6183,52,1,5,3,58,"exp",1,1,0,1,2,0.905,1,0.074,2,0.709,3,0.205,0.216666666666667
"6184",6184,52,0,8,4,8,"exp",0,1,0,0,8,0.545,6,0.067,8,0.694,2,0.026,0.216666666666667
"6185",6185,52,1,10,5,56,"exp",1,0,0,0,2,0.921,3,0.226,2,0.73,3,0.089,0.216666666666667
"6186",6186,52,0,11,6,2,"exp",0,1,0,0,9,0.644,2,0.02,9,0.914,2,0.14,0.216666666666667
"6187",6187,52,1,12,7,45,"exp",1,0,0,0,2,0.688,1,0.122,2,0.706,2,0.024,0.216666666666667
"6188",6188,52,0,13,8,40,"exp",0,1,1,0,4,0.635,3,0.157,4,0.611,2,0.092,0.216666666666667
"6189",6189,52,0,14,9,38,"exp",0,1,0,0,2,0.511,3,0.049,2,0.778,1,0.054,0.216666666666667
"6190",6190,52,0,15,10,32,"exp",0,1,0,0,2,0.675,3,0.105,2,0.775,1,0.176,0.216666666666667
"6191",6191,52,0,16,11,6,"exp",1,0.5,0,0,5,0.836,2,0.014,5,0.703,2,0.185,0.216666666666667
"6192",6192,52,1,17,12,27,"exp",0,0,0,0,9,0.922,6,0.062,9,0.563,2,0.056,0.216666666666667
"6193",6193,52,0,18,13,47,"exp",0,1,0,0,8,0.584,6,0.015,8,0.658,1,0.027,0.216666666666667
"6194",6194,52,1,19,14,13,"exp",1,0,0,0,8,0.804,3,0.064,8,0.889,2,0.163,0.216666666666667
"6195",6195,52,1,22,15,16,"exp",1,0,0,0,4,0.642,3,0.213,4,0.902,1,0.042,0.216666666666667
"6196",6196,52,0,23,16,52,"exp",1,1,0,0,8,0.828,3,0.033,8,0.81,1,0.104,0.216666666666667
"6197",6197,52,1,26,17,23,"exp",0.5,1,0,1,5,0.645,1,0.215,5,0.8,3,0.188,0.216666666666667
"6198",6198,52,0,27,18,10,"exp",0,1,0,0,8,0.517,2,0.085,8,0.835,6,0.072,0.216666666666667
"6199",6199,52,1,28,19,28,"exp",1,1,0,0,5,0.9,2,0.012,5,0.786,2,0.181,0.216666666666667
"6200",6200,52,1,29,20,55,"exp",1,0,0,0,8,0.676,1,0.058,8,0.571,3,0.218,0.216666666666667
"6201",6201,52,1,31,21,41,"exp",1,0,0,0,8,0.769,1,0.091,8,0.681,2,0.219,0.216666666666667
"6202",6202,52,0,32,22,60,"exp",0,1,0,0,8,0.86,1,0.132,8,0.782,2,0.014,0.216666666666667
"6203",6203,52,0,34,23,22,"exp",1,1,0,0,8,0.596,2,0.145,8,0.944,2,0.135,0.216666666666667
"6204",6204,52,1,35,24,21,"exp",1,0,0,0,8,0.575,2,0.014,8,0.724,3,0.183,0.216666666666667
"6205",6205,52,0,36,25,51,"exp",0,0.5,0,0,3,0.791,2,0.019,3,0.631,6,0.019,0.216666666666667
"6206",6206,52,1,39,26,36,"exp",1,0,0,0,2,0.752,2,0.146,2,0.624,1,0.037,0.216666666666667
"6207",6207,52,0,42,27,33,"exp",0.5,0.5,0,0,4,0.561,1,0.199,4,0.824,1,0.151,0.216666666666667
"6208",6208,52,0,43,28,1,"exp",1,1,0,0,3,0.767,2,0.03,3,0.871,2,0.117,0.216666666666667
"6209",6209,52,0,44,29,14,"exp",1,0,0.5,0,2,0.766,1,0.083,2,0.635,2,0.136,0.216666666666667
"6210",6210,52,0,45,30,34,"exp",0,1,0,0,8,0.609,3,0.164,8,0.691,1,0.081,0.216666666666667
"6211",6211,52,0,48,31,5,"exp",0.5,1,0.5,0.5,3,0.754,1,0.088,3,0.833,1,0.235,0.216666666666667
"6212",6212,52,1,53,32,54,"exp",1,0,0,0,8,0.713,2,0.01,8,0.763,6,0.041,0.216666666666667
"6213",6213,52,0,54,33,25,"exp",0,1,0,0,5,0.659,3,0.227,5,0.594,2,0.134,0.216666666666667
"6214",6214,52,1,56,34,11,"exp",1,0,0,0,5,0.77,6,0.016,5,0.62,2,0.091,0.216666666666667
"6215",6215,52,0,57,35,29,"exp",1,0.5,1,0,8,0.645,3,0.137,8,0.677,2,0.017,0.216666666666667
"6216",6216,52,1,59,36,31,"exp",1,0,0,0,5,0.569,1,0.16,5,0.795,2,0.071,0.216666666666667
"6217",6217,52,1,60,37,30,"exp",0.5,0,0,0,5,0.566,2,0.06,5,0.766,1,0.192,0.216666666666667
"6218",6218,52,1,61,38,50,"exp",1,0,0,0,8,0.86,1,0.104,8,0.659,2,0.138,0.216666666666667
"6219",6219,52,0,65,39,4,"exp",1,1,0,0,2,0.571,3,0.261,2,0.514,2,0.014,0.216666666666667
"6220",6220,52,1,67,40,46,"exp",1,0,0,0,5,0.711,2,0.145,5,0.536,3,0.139,0.216666666666667
"6221",6221,52,0,68,41,37,"exp",1,1,1,0,3,0.845,3,0.162,3,0.869,2,0.068,0.216666666666667
"6222",6222,52,1,70,42,42,"exp",1,0,0,0,5,0.556,2,0.029,5,0.715,2,0.105,0.216666666666667
"6223",6223,52,0,71,43,49,"exp",0.333333333333333,0.75,0.333333333333333,0.25,2,0.606,2,0.036,2,0.577,2,0.105,0.216666666666667
"6224",6224,52,1,73,44,44,"exp",1,0,0,0,8,0.703,1,0.162,8,0.756,3,0.103,0.216666666666667
"6225",6225,52,0,74,45,17,"exp",0,0.5,0,0,2,0.693,2,0.031,2,0.708,1,0.18,0.216666666666667
"6226",6226,52,1,76,46,39,"exp",1,0,0,0,5,0.794,3,0.2,5,0.837,2,0.018,0.216666666666667
"6227",6227,52,1,77,47,20,"exp",1,0,0,0,2,0.741,2,0.02,2,0.571,3,0.198,0.216666666666667
"6228",6228,52,1,79,48,53,"exp",1,0,0,0,5,0.733,2,0.167,5,0.799,6,0.038,0.216666666666667
"6229",6229,52,1,80,49,19,"exp",1,0,0,0,9,0.812,2,0.037,9,0.817,1,0.199,0.216666666666667
"6230",6230,52,1,81,50,57,"exp",1,0,0,0,2,0.626,3,0.205,2,0.571,1,0.027,0.216666666666667
"6231",6231,52,1,83,51,26,"exp",1,0,0,0,8,0.742,6,0.052,8,0.688,3,0.112,0.216666666666667
"6232",6232,52,0,84,52,9,"exp",0,1,0,0,8,0.595,1,0.187,8,0.669,2,0.065,0.216666666666667
"6233",6233,52,0,85,53,48,"exp",0,1,0,0,4,0.668,2,0.153,4,0.846,2,0.082,0.216666666666667
"6234",6234,52,0,86,54,7,"exp",0.75,0.666666666666667,0,0,9,0.716,2,0.074,9,0.676,3,0.176,0.216666666666667
"6235",6235,52,1,90,55,35,"exp",1,0,0,0,3,0.832,3,0.118,3,0.903,3,0.193,0.216666666666667
"6236",6236,52,1,92,56,15,"exp",1,0,0,0,5,0.793,2,0.013,5,0.637,3,0.089,0.216666666666667
"6237",6237,52,0,95,57,43,"exp",0,1,0,0,8,0.604,6,0.043,8,0.514,2,0.071,0.216666666666667
"6238",6238,52,0,96,58,18,"exp",0,1,0,0,4,0.703,3,0.066,4,0.597,1,0.158,0.216666666666667
"6239",6239,52,0,99,59,3,"exp",0.5,1,0.5,0,8,0.596,3,0.137,8,0.736,6,0.075,0.216666666666667
"6240",6240,52,1,100,60,24,"exp",0.5,0,0,0,2,0.761,3,0.276,2,0.716,2,0.056,0.216666666666667
"6241",6241,53,0,2,1,8,"desc",NA,NA,NA,NA,3,0.88,4,0.114,3,0.733,4,0.178,0.0833333333333333
"6242",6242,53,1,3,2,42,"desc",NA,NA,NA,NA,8,0.68,2,0.251,8,0.614,10,0.051,0.0833333333333333
"6243",6243,53,0,5,3,20,"desc",NA,NA,NA,NA,9,0.905,10,0.074,9,0.709,2,0.205,0.0833333333333333
"6244",6244,53,0,8,4,19,"desc",NA,NA,NA,NA,3,0.545,10,0.067,3,0.694,8,0.026,0.0833333333333333
"6245",6245,53,1,10,5,12,"desc",NA,NA,NA,NA,9,0.921,2,0.226,9,0.73,5,0.089,0.0833333333333333
"6246",6246,53,0,11,6,27,"desc",NA,NA,NA,NA,2,0.644,9,0.02,2,0.914,4,0.14,0.0833333333333333
"6247",6247,53,1,12,7,34,"desc",NA,NA,NA,NA,3,0.688,4,0.122,3,0.706,8,0.024,0.0833333333333333
"6248",6248,53,0,13,8,3,"desc",NA,NA,NA,NA,9,0.635,5,0.157,9,0.611,3,0.092,0.0833333333333333
"6249",6249,53,1,14,9,7,"desc",NA,NA,NA,NA,3,0.511,5,0.049,3,0.778,10,0.054,0.0833333333333333
"6250",6250,53,1,15,10,9,"desc",NA,NA,NA,NA,3,0.675,2,0.105,3,0.775,4,0.176,0.0833333333333333
"6251",6251,53,0,16,11,24,"desc",NA,NA,NA,NA,8,0.836,8,0.014,8,0.703,3,0.185,0.0833333333333333
"6252",6252,53,0,17,12,36,"desc",NA,NA,NA,NA,2,0.922,10,0.062,2,0.563,3,0.056,0.0833333333333333
"6253",6253,53,1,18,13,29,"desc",NA,NA,NA,NA,7,0.584,10,0.015,7,0.658,10,0.027,0.0833333333333333
"6254",6254,53,0,19,14,18,"desc",NA,NA,NA,NA,5,0.804,5,0.064,5,0.889,4,0.163,0.0833333333333333
"6255",6255,53,1,22,15,16,"desc",NA,NA,NA,NA,9,0.642,2,0.213,9,0.902,10,0.042,0.0833333333333333
"6256",6256,53,1,23,16,6,"desc",NA,NA,NA,NA,7,0.828,5,0.033,7,0.81,4,0.104,0.0833333333333333
"6257",6257,53,0,26,17,56,"desc",NA,NA,NA,NA,8,0.645,4,0.215,8,0.8,2,0.188,0.0833333333333333
"6258",6258,53,1,27,18,45,"desc",NA,NA,NA,NA,5,0.517,9,0.085,5,0.835,10,0.072,0.0833333333333333
"6259",6259,53,0,28,19,60,"desc",NA,NA,NA,NA,8,0.9,8,0.012,8,0.786,4,0.181,0.0833333333333333
"6260",6260,53,0,29,20,37,"desc",NA,NA,NA,NA,7,0.676,4,0.058,7,0.571,2,0.218,0.0833333333333333
"6261",6261,53,0,31,21,39,"desc",NA,NA,NA,NA,5,0.769,4,0.091,5,0.681,3,0.219,0.0833333333333333
"6262",6262,53,1,32,22,50,"desc",NA,NA,NA,NA,5,0.86,4,0.132,5,0.782,8,0.014,0.0833333333333333
"6263",6263,53,1,34,23,14,"desc",NA,NA,NA,NA,7,0.596,3,0.145,7,0.944,9,0.135,0.0833333333333333
"6264",6264,53,0,35,24,31,"desc",NA,NA,NA,NA,3,0.575,8,0.014,3,0.724,5,0.183,0.0833333333333333
"6265",6265,53,1,36,25,32,"desc",NA,NA,NA,NA,6,0.791,8,0.019,6,0.631,10,0.019,0.0833333333333333
"6266",6266,53,1,39,26,59,"desc",NA,NA,NA,NA,9,0.752,4,0.146,9,0.624,10,0.037,0.0833333333333333
"6267",6267,53,0,42,27,40,"desc",NA,NA,NA,NA,9,0.561,4,0.199,9,0.824,4,0.151,0.0833333333333333
"6268",6268,53,1,43,28,58,"desc",NA,NA,NA,NA,6,0.767,9,0.03,6,0.871,9,0.117,0.0833333333333333
"6269",6269,53,0,44,29,22,"desc",NA,NA,NA,NA,3,0.766,4,0.083,3,0.635,4,0.136,0.0833333333333333
"6270",6270,53,1,45,30,51,"desc",NA,NA,NA,NA,7,0.609,2,0.164,7,0.691,4,0.081,0.0833333333333333
"6271",6271,53,0,48,31,1,"desc",NA,NA,NA,NA,6,0.754,10,0.088,6,0.833,4,0.235,0.0833333333333333
"6272",6272,53,1,53,32,26,"desc",NA,NA,NA,NA,7,0.713,8,0.01,7,0.763,10,0.041,0.0833333333333333
"6273",6273,53,1,54,33,33,"desc",NA,NA,NA,NA,8,0.659,2,0.227,8,0.594,3,0.134,0.0833333333333333
"6274",6274,53,0,56,34,2,"desc",NA,NA,NA,NA,7,0.77,10,0.016,7,0.62,3,0.091,0.0833333333333333
"6275",6275,53,1,57,35,11,"desc",NA,NA,NA,NA,3,0.645,5,0.137,3,0.677,9,0.017,0.0833333333333333
"6276",6276,53,1,59,36,54,"desc",NA,NA,NA,NA,8,0.569,4,0.16,8,0.795,8,0.071,0.0833333333333333
"6277",6277,53,0,60,37,41,"desc",NA,NA,NA,NA,8,0.566,9,0.06,8,0.766,4,0.192,0.0833333333333333
"6278",6278,53,0,61,38,49,"desc",NA,NA,NA,NA,3,0.86,10,0.104,3,0.659,4,0.138,0.0833333333333333
"6279",6279,53,1,65,39,10,"desc",NA,NA,NA,NA,9,0.571,2,0.261,9,0.514,8,0.014,0.0833333333333333
"6280",6280,53,0,67,40,4,"desc",NA,NA,NA,NA,8,0.711,9,0.145,8,0.536,2,0.139,0.0833333333333333
"6281",6281,53,1,68,41,23,"desc",NA,NA,NA,NA,6,0.845,2,0.162,6,0.869,3,0.068,0.0833333333333333
"6282",6282,53,1,70,42,30,"desc",NA,NA,NA,NA,7,0.556,8,0.029,7,0.715,9,0.105,0.0833333333333333
"6283",6283,53,0,71,43,55,"desc",NA,NA,NA,NA,9,0.606,9,0.036,9,0.577,4,0.105,0.0833333333333333
"6284",6284,53,1,73,44,17,"desc",NA,NA,NA,NA,7,0.703,4,0.162,7,0.756,5,0.103,0.0833333333333333
"6285",6285,53,0,74,45,44,"desc",NA,NA,NA,NA,3,0.693,9,0.031,3,0.708,4,0.18,0.0833333333333333
"6286",6286,53,1,76,46,35,"desc",NA,NA,NA,NA,8,0.794,5,0.2,8,0.837,8,0.018,0.0833333333333333
"6287",6287,53,1,77,47,5,"desc",NA,NA,NA,NA,9,0.741,8,0.02,9,0.571,2,0.198,0.0833333333333333
"6288",6288,53,1,79,48,46,"desc",NA,NA,NA,NA,7,0.733,4,0.167,7,0.799,10,0.038,0.0833333333333333
"6289",6289,53,1,80,49,15,"desc",NA,NA,NA,NA,2,0.812,3,0.037,2,0.817,4,0.199,0.0833333333333333
"6290",6290,53,1,81,50,13,"desc",NA,NA,NA,NA,3,0.626,2,0.205,3,0.571,10,0.027,0.0833333333333333
"6291",6291,53,0,83,51,43,"desc",NA,NA,NA,NA,3,0.742,10,0.052,3,0.688,5,0.112,0.0833333333333333
"6292",6292,53,0,84,52,53,"desc",NA,NA,NA,NA,3,0.595,4,0.187,3,0.669,3,0.065,0.0833333333333333
"6293",6293,53,0,85,53,25,"desc",NA,NA,NA,NA,9,0.668,4,0.153,9,0.846,3,0.082,0.0833333333333333
"6294",6294,53,0,86,54,38,"desc",NA,NA,NA,NA,2,0.716,3,0.074,2,0.676,2,0.176,0.0833333333333333
"6295",6295,53,0,90,55,21,"desc",NA,NA,NA,NA,6,0.832,5,0.118,6,0.903,2,0.193,0.0833333333333333
"6296",6296,53,0,92,56,48,"desc",NA,NA,NA,NA,8,0.793,8,0.013,8,0.637,5,0.089,0.0833333333333333
"6297",6297,53,0,95,57,57,"desc",NA,NA,NA,NA,3,0.604,10,0.043,3,0.514,9,0.071,0.0833333333333333
"6298",6298,53,1,96,58,28,"desc",NA,NA,NA,NA,9,0.703,5,0.066,9,0.597,4,0.158,0.0833333333333333
"6299",6299,53,1,99,59,52,"desc",NA,NA,NA,NA,7,0.596,5,0.137,7,0.736,10,0.075,0.0833333333333333
"6300",6300,53,1,100,60,47,"desc",NA,NA,NA,NA,3,0.761,2,0.276,3,0.716,8,0.056,0.0833333333333333
"6301",6301,53,1,2,1,43,"exp",0.7,0,0.1,0,3,0.88,4,0.114,3,0.733,4,0.178,0.0833333333333333
"6302",6302,53,1,3,2,21,"exp",0.461538461538462,0.68,0.153846153846154,0.04,8,0.68,2,0.251,8,0.614,10,0.051,0.0833333333333333
"6303",6303,53,0,5,3,48,"exp",0,0.857142857142857,0,0.142857142857143,9,0.905,10,0.074,9,0.709,2,0.205,0.0833333333333333
"6304",6304,53,0,8,4,14,"exp",0.5,0.727272727272727,0.125,0.0909090909090909,3,0.545,10,0.067,3,0.694,8,0.026,0.0833333333333333
"6305",6305,53,1,10,5,34,"exp",0.923076923076923,0.857142857142857,0.230769230769231,0.142857142857143,9,0.921,2,0.226,9,0.73,5,0.089,0.0833333333333333
"6306",6306,53,0,11,6,2,"exp",0.416666666666667,0.833333333333333,0.0833333333333333,0.166666666666667,2,0.644,9,0.02,2,0.914,4,0.14,0.0833333333333333
"6307",6307,53,1,12,7,51,"exp",0.75,0.611111111111111,0.0833333333333333,0,3,0.688,4,0.122,3,0.706,8,0.024,0.0833333333333333
"6308",6308,53,0,13,8,39,"exp",0.285714285714286,0.739130434782609,0.214285714285714,0.0434782608695652,9,0.635,5,0.157,9,0.611,3,0.092,0.0833333333333333
"6309",6309,53,1,14,9,9,"exp",0.580645161290323,0.666666666666667,0.032258064516129,0.111111111111111,3,0.511,5,0.049,3,0.778,10,0.054,0.0833333333333333
"6310",6310,53,1,15,10,32,"exp",0.666666666666667,0,0.166666666666667,0,3,0.675,2,0.105,3,0.775,4,0.176,0.0833333333333333
"6311",6311,53,0,16,11,49,"exp",0.836206896551724,0.833333333333333,0,0.166666666666667,8,0.836,8,0.014,8,0.703,3,0.185,0.0833333333333333
"6312",6312,53,0,17,12,47,"exp",0.864864864864865,0.526315789473684,0.027027027027027,0.0526315789473684,2,0.922,10,0.062,2,0.563,3,0.056,0.0833333333333333
"6313",6313,53,0,18,13,17,"exp",0.535714285714286,0.645669291338583,0.0357142857142857,0.0078740157480315,7,0.584,10,0.015,7,0.658,10,0.027,0.0833333333333333
